source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
osm,amenity=place_of_worship,147,0.0051771501021342535,psic,rev5,,,exact,,,category,activities of religious organizations,9491,Activities of religious organizations,,,94910|9491,Activities of religious organizations || Activities of religious organizations,1.000000|1.000000,1.000000,semantic:osm:amenity=place_of_worship;retrieval:candidates,REVIEW_CANDIDATES
overture,spa,147,0.0051771501021342535,psic,rev5,,,exact,,,category,day spa sauna and steam bath activities,962,"Hairdressing, beauty treatment, day spa and similar activities",,,96230|9623|962|96212|96211,"Day spa, sauna and steam bath activities || Day spa, sauna and steam bath activities || Hairdressing, beauty treatment, day spa and similar activities || Barber activities || Hairdressing activities, other than barber activities",0.953831|0.953831|0.258177|0.062348|0.051953,0.953831,semantic:overture:spa;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=bank,146,0.00514193139395647,psic,rev5,,,exact,,,category,banking activities,64,"Financial Service Activities, except Insurance and Pension Funding",,,6412|64129|6411|64110|64124,"Other banking || Other banking, n.e.c. || Central banking || Central banking || Rural banking",0.668131|0.594122|0.535106|0.535106|0.531843,0.668131,semantic:osm:amenity=bank;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Health and Medicine > Medical Center],145,0.005106712685778686,psic,rev5,,,exact,,,category,human health activities,86,Human Health Activities,,,86|869|8699|86999|8691,"Human Health Activities || Other human health activities || Other human health activities n.e.c. || All other human health activities, n.e.c. || Intermediation service activities for medical, dental, and other human health services",1.000000|0.910895|0.886172|0.781951|0.439607,1.000000,semantic:fsq:health;retrieval:candidates,REVIEW_CANDIDATES
overture,shopping,145,0.005106712685778686,psic,rev5,,,exact,,,category,retail trade activities,47,Retail Trade,SUBTREE,47,47|4790|479|47900|4721,Retail Trade || Intermediation service activities for retail sale || Intermediation service activities for retail sale || Intermediation service activities for retail sale || Retail sale of food,0.940316|0.224235|0.224235|0.224235|0.215569,0.940316,semantic:overture:shopping;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,community_and_government,144,0.005071493977600902,psic,rev5,,,exact,,,category,community and government,,,,,61|6190|619|61900|6120,Telecommunications || Other telecommunication activities || Other telecommunication activities || Other telecommunication activities || Telecommunication reselling activities and intermediation service activities for telecommunication,0.086048|0.080728|0.080728|0.080728|0.078336,0.086048,semantic:raw_category;retrieval:candidates,REVIEW_CANDIDATES
overture,college_university,143,0.005036275269423117,psic,rev5,,,exact,,,category,tertiary education,854,Tertiary education,,,854|8540|85401|85402,Tertiary education || Tertiary education || Public tertiary education || Private tertiary education,1.000000|1.000000|0.791306|0.782655,1.000000,semantic:overture:college_university;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant > BBQ Joint],140,0.004930619144889766,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:fsq:restaurant;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Travel and Transportation > Lodging > Hotel],140,0.004930619144889766,psic,rev5,,,exact,,,category,accommodation hotels and similar accommodation,55,Accommodation,,,551|5510|55109|55|559,"Hotels and similar accommodation activities || Hotels and similar accommodation activities || Hotels and similar accommodation activities, n.e.c. || Accommodation || Other accommodation n.e.c.",0.906795|0.906795|0.884855|0.655820|0.473126,0.906795,semantic:fsq:lodging;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant > Seafood Restaurant],138,0.004860181728534197,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:fsq:restaurant;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=fuel,138,0.004860181728534197,psic,rev5,,,exact,,,category,retail sale of automotive fuel,473,Retail sale of automotive fuel,,,47300|4730|473,Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel,1.000000|1.000000|1.000000,1.000000,semantic:osm:amenity=fuel;retrieval:candidates,REVIEW_CANDIDATES
overture,laundromat,132,0.004648869479467493,psic,rev5,,,exact,,,category,washing and cleaning of textile and fur products,961,Washing and cleaning of textile and fur products,,,96100|9610|961,Washing and cleaning of textile and fur products || Washing and cleaning of textile and fur products || Washing and cleaning of textile and fur products,1.000000|1.000000|1.000000,1.000000,semantic:overture:laundromat;retrieval:candidates,REVIEW_CANDIDATES
overture,hardware_store,131,0.004613650771289709,psic,rev5,,,exact,,,category,retail sale hardware building materials,4752,"Retail sale of hardware, building materials, paints and glass",,,4752|47529|47521|47525|47523,"Retail sale of hardware, building materials, paints and glass || Retail sale of hardware, building materials, paints and glass, n.e.c. || Retail sale of hardware and electrical materials and supplies || Retail sale of masonry and other construction materials and supplies || Retail sale of lumber",0.703216|0.688386|0.462000|0.261685|0.223859,0.703216,semantic:overture:hardware_store;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Travel and Transportation > Road],129,0.004543213354934141,psic,rev5,,,exact,,,category,Travel and Transportation Road,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,education,126,0.004437557230400789,psic,rev5,,,exact,,,category,education activities,85,Education,SUBTREE,85,85|855|8559|8520|852,Education || Other education || Other education n.e.c. || Primary education || Primary education,0.882374|0.588716|0.546862|0.488928|0.488928,0.882374,semantic:overture:education;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,clothing_store,124,0.004367119814045221,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",SUBTREE,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:overture:clothing_store;retrieval:strong_separated_hit,REVIEW_REQUIRED
fsq,[Dining and Drinking > Bar],122,0.0042966823976896525,psic,rev5,,,exact,,,category,beverage serving activities cafes coffee shops,563,Beverage serving activities,,,563|5630|56309|56302|56303,"Beverage serving activities || Beverage serving activities || Beverage serving activities, n.e.c. || Operation of cafés or coffee shops || Activities of tea shops",0.700880|0.700880|0.669606|0.453103|0.299470,0.700880,semantic:fsq:beverage;retrieval:candidates,REVIEW_CANDIDATES
