source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
overture,shopping,145,0.005106712685778686,psic,rev5,,,exact,,,category,shopping,,,56303|017|01700|0170|56302,"Activities of tea shops || Hunting, trapping and related service activities || Hunting, trapping and related service activities || Hunting, trapping and related service activities || Operation of cafés or coffee shops",0.135746|0.096667|0.096667|0.096667|0.087950,0.135746,retrieval:candidates,REVIEW_CANDIDATES
overture,community_and_government,144,0.005071493977600902,psic,rev5,,,exact,,,category,community and government,,,84113|84112|64121|842|841,"Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Provision of services to the community as a whole || Administration of the State and the economic, social and environmental policies of the community",0.343798|0.338173|0.267984|0.266334|0.205407,0.343798,retrieval:candidates,REVIEW_CANDIDATES
overture,college_university,143,0.005036275269423117,psic,rev5,,,exact,,,category,college university,,,64121|381|91210|9121|3812,"Universal banking, including specialized government banking || Waste collection activities || Museum and collection activities || Museum and collection activities || Collection of hazardous waste",0.106735|0.083611|0.073098|0.073098|0.062600,0.106735,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant > BBQ Joint],140,0.004930619144889766,psic,rev5,,,exact,,,category,Dining and Drinking Restaurant BBQ Joint,,,11054|56102|23102|5610|561,"Manufacture of bottled drinking water || Fast-food restaurants operations, including quick service restaurant || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Restaurants and mobile food service activities || Restaurants and mobile food service activities",0.301577|0.291739|0.170787|0.155862|0.155862,0.301577,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Travel and Transportation > Lodging > Hotel],140,0.004930619144889766,psic,rev5,,,exact,,,category,Travel and Transportation Lodging Hotel,,,7911|79110|799|7990|522,Travel agency activities || Travel agency activities || Other travel related activities || Other travel related activities || Support activities for transportation,0.378351|0.378351|0.359328|0.359328|0.358454,0.378351,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant > Seafood Restaurant],138,0.004860181728534197,psic,rev5,,,exact,,,category,Dining and Drinking Restaurant Seafood Restaurant,,,56102|47215|46208|5610|561,"Fast-food restaurants operations, including quick service restaurant || Retail sale of fish, other seafood and seafood products || Wholesale of fish and other seafood || Restaurants and mobile food service activities || Restaurants and mobile food service activities",0.356408|0.270473|0.239414|0.210195|0.210195,0.356408,retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=fuel,138,0.004860181728534197,psic,rev5,,,exact,,,category,fuel amenity,,,473|4730|47300|20293|1920,Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Manufacture of biofuels such as biodiesel and bioethanol fuel || Manufacture of refined petroleum products; manufacture of fossil fuel products,0.348305|0.348305|0.348305|0.229618|0.227549,0.348305,retrieval:candidates,REVIEW_CANDIDATES
overture,laundromat,132,0.004648869479467493,psic,rev5,,,exact,,,category,laundromat,,,27502|28263|01281|0128|20296,"Manufacture of refrigerators and laundry equipment such as freezers, washing and drying machines || Manufacture of commercial washing, laundry, centrifugal clothes driers, dry-cleaning and pressing machines || Growing of spices and aromatic crops such as luya, pepper (paminta), achuete and laurel || Growing of spices, aromatic, drug and pharmaceutical crops || Manufacture of essential oil and concentrates, natural aromatic product extracts, resinoids, aromatic distilled waters and odoriferous product mixtures used in perfumes or food",0.109344|0.091877|0.059343|0.051114|0.047797,0.109344,retrieval:candidates,REVIEW_CANDIDATES
overture,hardware_store,131,0.004613650771289709,psic,rev5,,,exact,,,category,hardware store,,,46735|47521|2593|4752|47529,"Wholesale of hardware and electrical materials and supplies || Retail sale of hardware and electrical materials and supplies || Manufacture of cutlery, hand tools and general hardware || Retail sale of hardware, building materials, paints and glass || Retail sale of hardware, building materials, paints and glass, n.e.c.",0.348699|0.343506|0.329001|0.301615|0.294650,0.348699,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Travel and Transportation > Road],129,0.004543213354934141,psic,rev5,,,exact,,,category,Travel and Transportation Road,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,education,126,0.004437557230400789,psic,rev5,,,exact,,,category,education,,,Q|85|855|8559|8520,Education || Education || Other education || Other education n.e.c. || Primary education,1.000000|1.000000|0.671987|0.622930|0.556621,1.000000,retrieval:candidates,REVIEW_CANDIDATES
overture,clothing_store,124,0.004367119814045221,psic,rev5,,,exact,,,category,clothing store,,,46412|47711|95293|4641|46419,"Wholesale of garments, clothing, wearing apparel and clothing accessories || Retail sale of garments, clothing, wearing apparel and clothing accessories || Repair and alteration of clothing || Wholesale of textiles, clothing and footwear || Wholesale of textiles, clothing and footwear, n.e.c.",0.434401|0.429247|0.400700|0.368073|0.355162,0.434401,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Bar],122,0.0042966823976896525,psic,rev5,,,exact,,,category,Dining and Drinking Bar,,,11054|23102|11051|6412|08911,"Manufacture of bottled drinking water || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Manufacture of sports and energy drink || Other banking || Baryte mining",0.441061|0.246969|0.117696|0.110479|0.091134,0.441061,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Health and Medicine > Dentist],122,0.0042966823976896525,psic,rev5,,,exact,,,category,Health and Medicine Dentist,,,R|86|869|8699|86999,"Human Health and Social Work Activities || Human Health Activities || Other human health activities || Other human health activities n.e.c. || All other human health activities, n.e.c.",0.439449|0.330656|0.303343|0.293388|0.261395,0.439449,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Health and Beauty Service > Spa],122,0.0042966823976896525,psic,rev5,,,exact,,,category,Business and Professional Services Health and Beauty Service Spa,,,941|829|9622|96220|82990,"Activities of business, employers and professional membership organizations || Business support service activities n.e.c. || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Other business support service activities n.e.c.",0.317615|0.268504|0.260205|0.260205|0.248719,0.317615,retrieval:candidates,REVIEW_CANDIDATES
overture,hospital,122,0.0042966823976896525,psic,rev5,,,exact,,,category,hospital,,,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",0.775980|0.597341|0.593639|0.567316|0.507442,0.775980,retrieval:candidates,REVIEW_CANDIDATES
overture,bank_or_credit_union,121,0.004261463689511869,psic,rev5,,,exact,,,category,bank or credit union,,,64959|64133|6495|64127|64951,"Other credit granting, n.e.c. || Activities of credit cooperatives || Other credit granting activities || Digital bank operation || Credit card company operation",0.318071|0.305702|0.304435|0.298291|0.278268,0.318071,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Retail > Food and Beverage Retail],120,0.004226244981334085,psic,rev5,,,exact,,,category,Retail Food and Beverage Retail,SUBTREE,56,56|5640|56400|564|4721,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Retail sale of food,0.665540|0.480773|0.480773|0.480773|0.448752,0.665540,retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,bar,118,0.004155807564978516,psic,rev5,,,exact,,,category,bar,,,96212|08911|9621|26192|96211,"Barber activities || Baryte mining || Hairdressing and barber activities || Manufacture of bare printed circuit boards || Hairdressing activities, other than barber activities",0.136241|0.116058|0.087053|0.077544|0.073207,0.136241,retrieval:candidates,REVIEW_CANDIDATES
overture,gas_station,116,0.004085370148622949,psic,rev5,,,exact,,,category,gas station,,,11055|06200|0620|062|42203,Operation of water purifying and refilling station || Extraction of natural gas || Extraction of natural gas || Extraction of natural gas || Construction of gas and energy pipelines,0.286888|0.244647|0.244647|0.244647|0.176779,0.286888,retrieval:candidates,REVIEW_CANDIDATES
